State ,Year,Male Population,Female Population,Total Population
Alabama,1999,NA,NA,0
Alabama,2000,2149338,2302835,4452173
Alabama,2001,2158138,2309496,4467634
Alabama,2002,2165719,2314370,4480089
Alabama,2003,2179422,2324069,4503491
Alabama,2004,2192872,2337857,4530729
Alabama,2005,2213382,2356423,4569805
Alabama,2006,2243501,2385480,4628981
Alabama,2007,2265565,2407275,4672840
Alabama,2008,2287949,2430257,4718206
Alabama,2009,2309779,2448159,4757938
Alabama,2010,2320188,2459548,4779736
Alaska,1999,NA,NA,0
Alaska,2000,324750,303213,627963
Alaska,2001,328135,305579,633714
Alaska,2002,332704,309633,642337
Alaska,2003,335380,313034,648414
Alaska,2004,341479,317807,659286
Alaska,2005,346026,320920,666946
Alaska,2006,350181,325121,675302
Alaska,2007,353162,327138,680300
Alaska,2008,358043,329412,687455
Alaska,2009,361893,337002,698895
Alaska,2010,369628,340603,710231
Arizona,1999,NA,NA,0
Arizona,2000,2576007,2584579,5160586
Arizona,2001,2631801,2641676,5273477
Arizona,2002,2692038,2704217,5396255
Arizona,2003,2746287,2764077,5510364
Arizona,2004,2816798,2835606,5652404
Arizona,2005,2908266,2930811,5839077
Arizona,2006,3003007,3026134,6029141
Arizona,2007,3070683,3096998,6167681
Arizona,2008,3125084,3155278,6280362
Arizona,2009,3153246,3189908,6343154
Arizona,2010,3175823,3216194,6392017
Arkansas,1999,NA,NA,0
Arkansas,2000,1307573,1371015,2678588
Arkansas,2001,1314726,1376845,2691571
Arkansas,2002,1322688,1383239,2705927
Arkansas,2003,1333293,1391523,2724816
Arkansas,2004,1346638,1403048,2749686
Arkansas,2005,1362802,1418295,2781097
Arkansas,2006,1383333,1438428,2821761
Arkansas,2007,1397292,1451358,2848650
Arkansas,2008,1410334,1464220,2874554
Arkansas,2009,1421830,1475013,2896843
Arkansas,2010,1431637,1484281,2915918
California,1999,NA,NA,0
California,2000,16937562,17050415,33987977
California,2001,17185235,17294223,34479458
California,2002,17373381,17498462,34871843
California,2003,17543650,17709509,35253159
California,2004,17703161,17871415,35574576
California,2005,17831713,17996230,35827943
California,2006,17923731,18097471,36021202
California,2007,18035385,18214926,36250311
California,2008,18207365,18396972,36604337
California,2009,18378154,18583075,36961229
California,2010,18517830,18736126,37253956
Colorado,1999,NA,NA,0
Colorado,2000,2179179,2147742,4326921
Colorado,2001,2229982,2195705,4425687
Colorado,2002,2261741,2228665,4490406
Colorado,2003,2275518,2253214,4528732
Colorado,2004,2300502,2274511,4575013
Colorado,2005,2323650,2308238,4631888
Colorado,2006,2367463,2352960,4720423
Colorado,2007,2407435,2396433,4803868
Colorado,2008,2450670,2439060,4889730
Colorado,2009,2491485,2480710,4972195
Colorado,2010,2520662,2508534,5029196
Connecticut,1999,NA,NA,0
Connecticut,2000,1652459,1759318,3411777
Connecticut,2001,1663876,1768959,3432835
Connecticut,2002,1678249,1780500,3458749
Connecticut,2003,1690868,1793468,3484336
Connecticut,2004,1698016,1798078,3496094
Connecticut,2005,1704888,1802068,3506956
Connecticut,2006,1709785,1807675,3517460
Connecticut,2007,1715653,1811617,3527270
Connecticut,2008,1724830,1820749,3545579
Connecticut,2009,1733028,1828779,3561807
Connecticut,2010,1739614,1834483,3574097
Delaware,1999,NA,NA,0
Delaware,2000,381926,404447,786373
Delaware,2001,386350,409349,795699
Delaware,2002,391517,414652,806169
Delaware,2003,397201,420802,818003
Delaware,2004,403483,427320,830803
Delaware,2005,409923,435227,845150
Delaware,2006,416502,442766,859268
Delaware,2007,422351,449398,871749
Delaware,2008,428393,455481,883874
Delaware,2009,431935,459795,891730
Delaware,2010,434939,462995,897934
District of Columbia,1999,NA,NA,0
District of Columbia,2000,269403,302643,572046
District of Columbia,2001,270764,303740,574504
District of Columbia,2002,270012,303146,573158
District of Columbia,2003,267895,300607,568502
District of Columbia,2004,267470,300284,567754
District of Columbia,2005,267523,299613,567136
District of Columbia,2006,269359,301322,570681
District of Columbia,2007,271455,302949,574404
District of Columbia,2008,273971,306265,580236
District of Columbia,2009,280400,311828,592228
District of Columbia,2010,284222,317501,601723
Florida,1999,NA,NA,0
Florida,2000,7830201,8217314,16047515
Florida,2001,7984190,8372776,16356966
Florida,2002,8147636,8541734,16689370
Florida,2003,8306512,8697573,17004085
Florida,2004,8512871,8902447,17415318
Florida,2005,8724088,9117950,17842038
Florida,2006,8886910,9280080,18166990
Florida,2007,8989255,9378587,18367842
Florida,2008,9062026,9465279,18527305
Florida,2009,9118355,9534289,18652644
Florida,2010,9189355,9611955,18801310
Georgia,1999,NA,NA,0
Georgia,2000,4047070,4180233,8227303
Georgia,2001,4120876,4256162,8377038
Georgia,2002,4180322,4327934,8508256
Georgia,2003,4227841,4394952,8622793
Georgia,2004,4305728,4463524,8769252
Georgia,2005,4370659,4555263,8925922
Georgia,2006,4485207,4670606,9155813
Georgia,2007,4572416,4777572,9349988
Georgia,2008,4647859,4856984,9504843
Georgia,2009,4703090,4917756,9620846
Georgia,2010,4729171,4958482,9687653
Hawaii,1999,NA,NA,0
Hawaii,2000,610025,603494,1213519
Hawaii,2001,616759,609189,1225948
Hawaii,2002,623421,616192,1239613
Hawaii,2003,627401,623753,1251154
Hawaii,2004,636705,636864,1273569
Hawaii,2005,647916,644813,1292729
Hawaii,2006,657380,652351,1309731
Hawaii,2007,658490,657185,1315675
Hawaii,2008,666900,665313,1332213
Hawaii,2009,673642,673075,1346717
Hawaii,2010,681243,679058,1360301
Idaho,1999,NA,NA,0
Idaho,2000,651446,647984,1299430
Idaho,2001,661919,658043,1319962
Idaho,2002,671686,668686,1340372
Idaho,2003,683503,679877,1363380
Idaho,2004,698616,693186,1391802
Idaho,2005,716258,711983,1428241
Idaho,2006,736565,732104,1468669
Idaho,2007,754978,750127,1505105
Idaho,2008,769528,764792,1534320
Idaho,2009,779041,775398,1554439
Idaho,2010,785324,782258,1567582
Illinois,1999,NA,NA,0
Illinois,2000,6088884,6345277,12434161
Illinois,2001,6118002,6370443,12488445
Illinois,2002,6137659,6387897,12525556
Illinois,2003,6153147,6402859,12556006
Illinois,2004,6175564,6414209,12589773
Illinois,2005,6186072,6423831,12609903
Illinois,2006,6203933,6440022,12643955
Illinois,2007,6228289,6467577,12695866
Illinois,2008,6253501,6493537,12747038
Illinois,2009,6276055,6520723,12796778
Illinois,2010,6292276,6538356,12830632
Indiana,1999,NA,NA,0
Indiana,2000,2988697,3103169,6091866
Indiana,2001,3007602,3120158,6127760
Indiana,2002,3022625,3133342,6155967
Indiana,2003,3044272,3152366,6196638
Indiana,2004,3064055,3168952,6233007
Indiana,2005,3087135,3191481,6278616
Indiana,2006,3114466,3218203,6332669
Indiana,2007,3138145,3241454,6379599
Indiana,2008,3160843,3263963,6424806
Indiana,2009,3177848,3281477,6459325
Indiana,2010,3189737,3294065,6483802
Iowa,1999,NA,NA,0
Iowa,2000,1437292,1491775,2929067
Iowa,2001,1439710,1492287,2931997
Iowa,2002,1442784,1491450,2934234
Iowa,2003,1448092,1493907,2941999
Iowa,2004,1454747,1498888,2953635
Iowa,2005,1461435,1503019,2964454
Iowa,2006,1471520,1511124,2982644
Iowa,2007,1481189,1518023,2999212
Iowa,2008,1491195,1525539,3016734
Iowa,2009,1500131,1532739,3032870
Iowa,2010,1508319,1538036,3046355
Kansas,1999,NA,NA,0
Kansas,2000,1331181,1362500,2693681
Kansas,2001,1336196,1365966,2702162
Kansas,2002,1341637,1371898,2713535
Kansas,2003,1345589,1377415,2723004
Kansas,2004,1351977,1382396,2734373
Kansas,2005,1357341,1387958,2745299
Kansas,2006,1368839,1394092,2762931
Kansas,2007,1378080,1405705,2783785
Kansas,2008,1392513,1415563,2808076
